Well_ID,X_GaussKruger,Y_GaussKruger,K_m_per_day,NO3_mg_per_L,DRASTIC_Index,Piezometric_Level_m,Infiltration,Lithology,Land_Use_Soil,Topography_slope_pct,Unsaturated_Zone,Inside_Aquifer
R12,4394311,4585283,100,4.15,141,20,,Gravel - medium-grained,Sandy silt,0-2,Aleurite,YES
R13,4391812,4585733,100,22.27,134,20,,Gravel - medium-grained,Sandy silt,0-2,Aleurite,YES
R15,4391912,4587382,100,,134,20,,Gravel - coarse-grained,Dusty silt,0-2,Aleurite,YES
R16,4391407,4589527,100,24.74,129,26,,Gravel - coarse-grained,Dusty silt,0-2,Aleurite,YES
A1,4384800,4612850,200,,126,38,,Gravel - medium-grained,Clayey silt,0-2,Clay loam,YES
A3,4390000,4616000,200,3.1,163,14,,Gravel - coarse-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES
A4,4388850,4612900,200,1.4,141,26,,Gravel - coarse-grained,Dusty silt,0-2,Sandy clay loam,YES
A5,4384419.333672,4611115.60409788,200,,123,40,,Gravel - fine-grained,Clayey silt,0-2,Clay loam,NO
A9,4387250,4612950,200,,133,30,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES
A10,4389600,4610750,200,3.4,145,25,,Gravel - medium-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES
A11,4386700,4606500,50,5.3,131,30,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES
A12,4391862.35,4589715.158,100,1.38,132,26,,Gravel - coarse-grained,Dusty silt,0-2,Aleurite,YES
A13,4388250,4600950,100,5,142,25,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES
A14,4398550,4577900,130,15,189,4,,Gravel - coarse-grained,Thin,0-2,Dusty sand,YES
A15,4399514.22138261,4576933.07298282,130,20,182,6,,Gravel - coarse-grained,Absent,2 to 4,Dusty sand,NO
A16,4387000,4596200,100,1.81,132,65,,Gravel - medium-grained,Dusty silt,2 to 4,Sandy clay loam,NO
A17,4390300,4593100,100,5.98,139,25,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES
A18,4394400,4587250,50,4.15,138,15,,Gravel - coarse-grained,Sandy silt,2 to 4,Aleurite,YES
A20,4387800,4598550,100,,139,25,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES
A21,4396050,4581000,130,15.2,184,6,,Gravel - coarse-grained,Thin,0-2,Dusty sand_aleurite,YES
A22,4382950,4608050,50,,95,50,,Gravel - fine-grained,Clayey silt,0-2,Clay loam,NO
A23,4384400,4606100,50,3.72,121,45,,Gravel - fine-grained,Clayey silt,0-2,Clay loam,YES
A24,4387100,4606700,50,,128,35,,Gravel - fine-grained,Dusty silt,0-2,Sandy clay loam,YES
A25,4388300,4607000,50,6.7,143,25,,Gravel - medium-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES
A28,4387450,4614200,200,,128,44,,Gravel - medium-grained,Dusty silt,0-2,Clay loam,YES
A30,4386100,4613250,200,,133,36,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES
L88,4391248,4619331,,,163,,,,,,,NO
L89,4390830,4620469,,,163,,,,,,,NO
L91,4391009,4621030,,,167,,,,,,,NO
L93,4390593,4622863,,,167,,,,,,,YES
L94,4392390,4614864,,,163,,,,,,,NO
L95,4392504,4615871,,,163,,,,,,,NO
L96,4393830,4618508,,,163,,,,,,,NO
L97,4386805,4622952,,,132,,,,,,,YES
L99,4385755,4622561,,,137,,,,,,,YES
L100,4385745,4621708,,,97,,,,,,,YES
L102,4387311,4621800,,,92,,,,,,,YES
L103,4387590,4619522,,,128,,,,,,,YES
L104,4386526,4619116,,,128,,,,,,,YES
L105,4387877,4618381,,,128,,,,,,,YES
L107,4386174,4617856,,,128,,,,,,,YES
L108,4387824,4624036,,,154,,,,,,,YES
L109,4388514,4622748,,,114,,,,,,,YES
L110,4388738,4621872,,,154,,,,,,,YES
L112,4389197,4621003,,,154,,,,,,,YES
L113,4389109,4619958,,,150,,,,,,,YES
L114,4389365,4618696,,,150,,,,,,,YES
L116,4387723,4615984,,,128,,,,,,,YES
L117,4386493,4616095,,,128,,,,,,,YES
H100,4381750.90590652,4616444.16931699,,,123,,,,,,,NO
H98,4384263.12968097,4617007.73294412,,,128,,,,,,,YES
H93,4384759.22442316,4617797.51577368,,,128,,,,,,,YES
H92,4383568.5970419,4617868.95341656,,,123,,,,,,,YES
H81,4382651.81395834,4618535.70475006,,,123,,,,,,,NO
H77,4385037.03747878,4619234.20614706,,,128,,,,,,,YES
V8,4384227.78559527,4620207.94343101,,,126,,,,,,,YES
V10,4385902.02377014,4620975.89588706,,,97,,,,,,,YES
V4,4383961.51280578,4620934.65608235,,,90,,,,,,,YES
V2,4385220.59685172,4622661.59054316,,,97,,,,,,,YES
V1,4385210.01349722,4623163.24154647,,,97,,,,,,,YES
H5',4384216.96874551,4628411.48272525,,,127,,,,,,,NO
H16,4386384.10901728,4627113.89731757,,,127,,,,,,,YES
H23,4384189.826851,4625727.89129,,,97,,,,,,,YES
H40,4385309.67804898,4625647.19321229,,,92,,,,,,,YES
H45,4384895.86888803,4624864.81873087,,,97,,,,,,,YES
H44,4383445.10265316,4624301.7313547,,,90,,,,,,,YES
H4-5,4382337.36057657,4622846.10559623,,,87,,,,,,,NO
H64,4382691.90295232,4621408.25105385,,,87,,,,,,,NO
H17,4381808.22725505,4626323.04443136,,,87,,,,,,,NO
H31,4386843.00326841,4625943.04206787,,,114,,,,,,,YES
H43,4388448.28647897,4625367.66741713,,,127,,,,,,,YES
H32,4388704.00678208,4626342.30617196,,,127,,,,,,,YES
H63,4389705.90649421,4622296.84537271,,,167,,,,,,,YES
V54,4382040.82683724,4623519.57671079,,,87,,,,,,,NO
V12,4384045.32304201,4627085.03982367,,,92,,,,,,,NO
B2-5,4385206.75626743,4621391.32464881,,,97,,,,,,,YES
B25,4385071.28822739,4626804.57708121,,,92,,,,,,,YES
B5,4389006.35581975,4624275.06716108,,,127,,,,,,,YES
C3,4382707.76238298,4620397.06325398,,,123,,,,,,,NO
E49,4387586.22575033,4624767.03439501,,,114,,,,,,,YES
E52,4387247.7965318,4624207.12202518,,,114,,,,,,,YES
H2/4,4387125.09509387,4608425.80134923,,,131,,,,,,,YES
H81',4386078.59381858,4606828.6183736,,,131,,,,,,,YES
H386,4383998.96465932,4605764.99124635,,,121,,,,,,,YES
H305,4386900.96456054,4603944.31251819,,,143,,,,,,,YES
H419,4388436.84742397,4604141.66562123,,,143,,,,,,,YES
H322,4388163.74396109,4601809.0060948,,,139,,,,,,,YES
H77',4386607.99084958,4601840.7561583,,,139,,,,,,,YES
H452,4386299.0450928,4598237.68839661,,,139,,,,,,,NO
H339,4388154.85773585,4611171.08341129,,,140,,,,,,,YES
C74,4385105.8374017,4608613.70399098,,,121,,,,,,,YES
C346,4387215.89370515,4609487.49219689,,,132,,,,,,,YES
H185,4393985.85391173,4592681.99837757,,,149,,,,,,,YES
H180,4393736.04264822,4590530.27011578,,,129,,,,,,,NO
H262,4395960.13326012,4590746.4605208,,,141,,,,,,,NO
V40/87,4393921.7073048,4582843.92836505,,,161,,,,,,,YES
V4',4395746.64803801,4582167.96951312,,,184,,,,,,,YES
V61,4397461.01697023,4580351.33891805,,,157,,,,,,,YES
V35,4396931.84924523,4579477.15383635,,,189,,,,,,,YES
V23/87,4396188.71255062,4576841.75304471,,,189,,,,,,,NO
V11/95,4396089.75818604,4576155.59889462,,,182,,,,,,,NO
V15/84,4400389.48848691,4576851.21191779,,,182,,,,,,,NO
V28,4401338.68309364,4577886.39627983,,,182,,,,,,,YES
V512,4393149.72435456,4585212.37065405,,,141,,,,,,,YES
V416,4389994.02380703,4593935.48011419,,,139,,,,,,,YES
V331,4388512.97153937,4596121.78948681,,,134,,,,,,,YES
V460,4389332.50646347,4597378.46642094,,,134,,,,,,,YES
V394,4387150.7920306,4599507.48456787,,,139,,,,,,,YES
B382,4384569.48540964,4604214.23965847,,,131,,,,,,,YES
B383,4385787.89409646,4603960.23915047,,,131,,,,,,,YES
B385,4383227.16328055,4605018.62972212,,,121,,,,,,,NO
B389,4382786.57823271,4606457.46322479,,,121,,,,,,,YES
B147,4383889.89293934,4606858.30777648,,,121,,,,,,,YES
B161,4384604.26936809,4607917.96614579,,,121,,,,,,,YES
C109,4389574.20087082,4592046.64496016,,,99,,,,,,,YES
H505,4388335.78377557,4607256.59468416,,,143,,,,,,,YES
G2/98,4397822.02802528,4576672.38065697,,,182,,,,,,,NO
E6/87,4399572.05183783,4577824.52431543,,,150,,,,,,,NO
V13,4397306.25485832,4577089.3119075,,,189,,,,,,,NO
V14/97,4397718.12373761,4578508.31925941,,,189,,,,,,,YES
E8,4399882.1110517,4580086.56199922,,,189,,,,,,,YES
V9/83,4401210.32204145,4580168.5829966,,,189,,,,,,,NO
E57/82,4401750.95506716,4579230.19223093,,,182,,,,,,,NO
V2/86,4402475.85972878,4580455.10527104,,,182,,,,,,,NO
H1/98,4398358.04516503,4577101.44528246,,,182,,,,,,,NO
E60,4394440.35191297,4582383.8620973,,,161,,,,,,,YES
V500,4390438.34279007,4587143.51131709,,,134,,,,,,,YES
V5',4391159.17506507,4587972.02922413,,,134,,,,,,,YES
H1,4392380.67056362,4588449.4267067,,,134,,,,,,,YES
H259,4390761.41732511,4589198.86049723,,,129,,,,,,,YES
H3,4390425.02540233,4591069.81236414,,,129,,,,,,,YES
HX,4391105.00592896,4591048.64565514,,,129,,,,,,,YES
H141,4395166.36821835,4591004.72473396,,,141,,,,,,,NO
H140,4393788.41546244,4591547.65081982,,,129,,,,,,,YES
H182,4393272.80766039,4593374.63546337,,,139,,,,,,,YES
H407,4389372.45567566,4593071.90742736,,,139,,,,,,,YES
H410,4388112.94829554,4594302.13419337,,,132,,,,,,,NO
E58,4389888.08552637,4592806.30932671,,,139,,,,,,,YES
E61,4391255.8429841,4593366.01002945,,,139,,,,,,,YES
E62,4391676.53132548,4593485.07276758,,,139,,,,,,,YES
V4/5,4392900.14018763,4593071.26250419,,,139,,,,,,,YES
V329,4392241.07942507,4594460.8216722,,,139,,,,,,,YES
V328,4391320.32758357,4594321.1213928,,,139,,,,,,,YES
V501,4391294.46451101,4592747.57501654,,,139,,,,,,,YES
V463,4391375.21771071,4592073.49250518,,,139,,,,,,,YES
V187,4392769.41591577,4591163.29755979,,,129,,,,,,,YES
H246,4387498.1336929,4595194.05103588,,,132,,,,,,,NO
E461,4389540.47855512,4596082.65019364,,,134,,,,,,,YES
V460',4390011.85124266,4596548.92412966,,,134,,,,,,,YES
V443,4386800.48779605,4611668.02020803,,,128,,,,,,,YES
H335,4389251.58356143,4606693.42809279,,,143,,,,,,,YES
V334,4388832.83550171,4605465.49438692,,,143,,,,,,,YES
V323,4388961.69381529,4602849.91853954,,,139,,,,,,,YES
H236,4384576.88243098,4601814.30690129,,,139,,,,,,,NO
H235,4385586.51599181,4600702.13332366,,,139,,,,,,,NO
H75,4385788.78676451,4600054.08007354,,,139,,,,,,,NO
H423,4385760.52839266,4599118.47626632,,,139,,,,,,,NO
V332,4387873.45104822,4600132.59868881,,,139,,,,,,,YES
V526,4394695.33335234,4584414.44279986,,,141,,,,,,,YES
V2/97,4396319.8782681,4584516.75737948,,,141,,,,,,,YES
V94/87,4397752.00897958,4584569.903458,,,141,,,,,,,YES
V58/87,4398892.03203612,4584331.48258457,,,141,,,,,,,NO
V60,4400133.71882296,4584401.90666509,,,141,,,,,,,NO
